defect_id,machine_id,log_date,defect_count,defect_type
DEF-00109,M001,2025-05-05 20:45:00,5,Plastic Resin
DEF-00110,M001,2025-05-05 20:50:00,38,Textiles
DEF-00111,M001,2025-05-05 22:05:00,19,Cotton
DEF-00112,M001,2025-05-05 22:15:00,8,Machine Component
DEF-00113,M001,2025-05-05 22:55:00,17,Steel
DEF-00114,M001,2025-05-06 01:20:00,3,Solvent
DEF-00115,M001,2025-05-06 01:40:00,17,Solvent
DEF-00116,M001,2025-05-06 03:05:00,6,Steel
DEF-00117,M001,2025-05-06 03:10:00,13,Plastic Resin
DEF-00118,M001,2025-05-06 05:15:00,10,Reprocessed Plastics
DEF-00119,M001,2025-05-06 05:30:00,7,Reprocessed Plastics
DEF-00120,M001,2025-05-06 05:35:00,4,Catalyst
DEF-00121,M001,2025-05-06 08:15:00,6,Solvent
DEF-00122,M001,2025-05-06 08:45:00,18,Industrial Oil
DEF-00123,M001,2025-05-06 11:00:00,1,Catalyst
DEF-00124,M001,2025-05-06 12:15:00,4,Plastic Resin
DEF-00125,M001,2025-05-06 16:00:00,26,Plastic Resin
DEF-00126,M001,2025-05-06 16:35:00,29,Packaging
DEF-00127,M001,2025-05-06 17:55:00,42,Solvent
DEF-00128,M001,2025-05-06 18:40:00,3,Packaging
DEF-00129,M001,2025-05-06 19:15:00,15,Steel
DEF-00130,M001,2025-05-06 20:15:00,6,Scrap Steel
DEF-00131,M001,2025-05-06 21:10:00,16,Machine Component
DEF-00132,M001,2025-05-06 22:30:00,39,Polypropylene
DEF-00133,M001,2025-05-06 23:25:00,26,Scrap Steel
DEF-00134,M001,2025-05-06 23:30:00,3,Steel
DEF-00135,M001,2025-05-07 00:35:00,24,Solvent
DEF-00136,M001,2025-05-07 00:40:00,0,Industrial Oil
DEF-00137,M001,2025-05-07 02:25:00,3,Coolant
DEF-00138,M001,2025-05-07 04:00:00,1,Coolant
DEF-00139,M001,2025-05-07 04:25:00,17,Cotton
DEF-00140,M001,2025-05-07 05:20:00,18,Lead-Based Alloy
DEF-00141,M001,2025-05-07 05:25:00,6,Machine Component
DEF-00142,M001,2025-05-07 05:50:00,33,Aluminum
DEF-00143,M001,2025-05-07 07:20:00,9,Solvent
DEF-00144,M001,2025-05-07 07:55:00,2,Lead-Based Alloy
DEF-00145,M001,2025-05-07 08:30:00,11,Sheet Metal
DEF-00146,M001,2025-05-07 09:25:00,7,Coolant
DEF-00147,M001,2025-05-07 09:40:00,11,Lead-Based Alloy
DEF-00148,M001,2025-05-07 11:50:00,15,Catalyst
DEF-00149,M001,2025-05-07 12:35:00,10,Textiles
DEF-00150,M001,2025-05-07 13:40:00,9,Industrial Oil
DEF-00151,M001,2025-05-07 13:55:00,11,Aluminum
DEF-00152,M001,2025-05-07 14:05:00,16,Coolant
DEF-00153,M001,2025-05-07 15:35:00,34,Textiles
DEF-00154,M001,2025-05-07 15:45:00,10,Polypropylene
DEF-00155,M001,2025-05-07 16:50:00,18,Plastic Resin
DEF-00156,M001,2025-05-07 21:00:00,20,Plastic Resin
DEF-00157,M001,2025-05-07 22:05:00,11,Solvent
DEF-00158,M001,2025-05-07 22:35:00,5,Coolant
DEF-00159,M001,2025-05-08 00:35:00,22,Sheet Metal
DEF-00160,M001,2025-05-08 00:40:00,3,Lead-Based Alloy
DEF-00161,M001,2025-05-08 00:45:00,11,Solvent
DEF-00162,M001,2025-05-08 01:15:00,10,Plastic Resin
DEF-00163,M001,2025-05-08 02:20:00,10,Catalyst
DEF-00164,M001,2025-05-08 02:30:00,15,Aluminum
DEF-00165,M001,2025-05-08 04:55:00,45,Scrap Steel
DEF-00166,M001,2025-05-08 06:15:00,30,Catalyst
DEF-00167,M001,2025-05-08 06:20:00,4,Reprocessed Plastics
DEF-00168,M001,2025-05-08 06:35:00,35,Coolant
DEF-00169,M001,2025-05-08 09:20:00,5,Lead-Based Alloy
DEF-00170,M001,2025-05-08 10:40:00,5,Lead-Based Alloy
DEF-00171,M001,2025-05-08 10:50:00,12,Sheet Metal
DEF-00172,M001,2025-05-08 11:50:00,17,Scrap Steel
DEF-00173,M001,2025-05-08 13:55:00,5,Circuit Board
DEF-00174,M001,2025-05-08 14:00:00,11,Industrial Oil
DEF-00175,M001,2025-05-08 15:20:00,19,Packaging
DEF-00176,M001,2025-05-08 16:15:00,3,Scrap Steel
DEF-00177,M001,2025-05-08 17:25:00,4,Reprocessed Plastics
DEF-00178,M001,2025-05-08 17:35:00,18,Industrial Oil
DEF-00179,M001,2025-05-08 18:45:00,14,Circuit Board
DEF-00180,M001,2025-05-08 19:55:00,6,Sheet Metal
DEF-00181,M001,2025-05-08 20:30:00,8,Reprocessed Plastics
DEF-00182,M001,2025-05-08 21:05:00,33,Industrial Oil
DEF-00183,M001,2025-05-08 21:45:00,14,Lead-Based Alloy
DEF-00184,M001,2025-05-08 23:05:00,39,Lead-Based Alloy
DEF-00185,M001,2025-05-08 23:15:00,30,Polypropylene
DEF-00186,M001,2025-05-08 23:25:00,5,Packaging
DEF-00187,M001,2025-05-08 23:35:00,18,Reprocessed Plastics
DEF-00188,M001,2025-05-09 00:05:00,13,Solvent
DEF-00189,M001,2025-05-09 01:55:00,29,Scrap Steel
DEF-00190,M001,2025-05-09 03:20:00,2,Steel
DEF-00191,M001,2025-05-09 03:30:00,8,Polypropylene
DEF-00192,M001,2025-05-09 05:35:00,14,Scrap Steel
DEF-00193,M001,2025-05-09 05:45:00,26,Cotton
DEF-00194,M001,2025-05-09 06:30:00,22,Coolant
DEF-00195,M001,2025-05-09 08:20:00,50,Coolant
DEF-00196,M001,2025-05-09 08:50:00,3,Plastic Resin
DEF-00197,M001,2025-05-09 08:55:00,12,Lead-Based Alloy
DEF-00198,M001,2025-05-09 10:40:00,21,Scrap Steel
DEF-00199,M001,2025-05-09 12:20:00,16,Scrap Steel
DEF-00200,M001,2025-05-09 12:55:00,11,Coolant
DEF-00201,M001,2025-05-09 13:20:00,2,Coolant
DEF-00202,M001,2025-05-09 15:30:00,0,Catalyst
DEF-00203,M001,2025-05-09 16:00:00,1,Plastic Resin
DEF-00204,M001,2025-05-09 16:25:00,18,Scrap Steel
DEF-00205,M001,2025-05-09 17:00:00,43,Plastic Resin
DEF-00206,M001,2025-05-09 17:45:00,12,Lead-Based Alloy
DEF-00207,M001,2025-05-09 18:10:00,1,Packaging
DEF-00208,M001,2025-05-09 18:45:00,7,Steel
DEF-00209,M001,2025-05-09 19:15:00,2,Lead-Based Alloy
DEF-00210,M001,2025-05-09 20:05:00,8,Plastic Resin
DEF-00211,M001,2025-05-09 20:35:00,36,Industrial Oil
DEF-00212,M001,2025-05-09 21:00:00,28,Circuit Board
DEF-00213,M001,2025-05-09 21:15:00,4,Steel
DEF-00214,M001,2025-05-09 21:35:00,26,Polypropylene
DEF-00215,M001,2025-05-09 22:05:00,26,Industrial Oil
DEF-00216,M001,2025-05-09 22:10:00,38,Lead-Based Alloy
DEF-00217,M001,2025-05-09 22:15:00,10,Sheet Metal
DEF-00218,M001,2025-05-09 22:40:00,24,Aluminum
DEF-00219,M001,2025-05-09 23:00:00,7,Solvent
DEF-00220,M001,2025-05-09 23:45:00,22,Solvent
DEF-00221,M001,2025-05-09 23:50:00,32,Machine Component
DEF-00222,M001,2025-05-10 00:40:00,4,Aluminum
DEF-00223,M001,2025-05-10 00:55:00,11,Steel
DEF-00224,M001,2025-05-10 03:00:00,11,Reprocessed Plastics
DEF-00225,M001,2025-05-10 03:05:00,33,Industrial Oil
DEF-00226,M001,2025-05-10 03:30:00,9,Solvent
DEF-00227,M001,2025-05-10 03:40:00,25,Lead-Based Alloy
DEF-00228,M001,2025-05-10 05:45:00,6,Polypropylene
DEF-00229,M001,2025-05-10 06:55:00,10,Aluminum
DEF-00230,M001,2025-05-10 07:45:00,0,Machine Component
DEF-00231,M001,2025-05-10 09:40:00,16,Aluminum
DEF-00232,M001,2025-05-10 11:00:00,17,Lead-Based Alloy
DEF-00233,M001,2025-05-10 11:25:00,1,Industrial Oil
DEF-00234,M001,2025-05-10 11:50:00,1,Textiles
DEF-00235,M001,2025-05-10 11:55:00,17,Solvent
DEF-00236,M001,2025-05-10 13:00:00,9,Industrial Oil
DEF-00237,M001,2025-05-10 14:40:00,18,Packaging
DEF-00238,M001,2025-05-10 15:00:00,10,Polypropylene
DEF-00239,M001,2025-05-10 16:15:00,23,Scrap Steel
DEF-00240,M001,2025-05-10 16:45:00,10,Plastic Resin
DEF-00241,M001,2025-05-10 18:00:00,9,Polypropylene
DEF-00242,M001,2025-05-10 18:05:00,15,Coolant
DEF-00243,M001,2025-05-10 22:55:00,9,Reprocessed Plastics
DEF-00244,M001,2025-05-11 00:25:00,9,Cotton
DEF-00245,M001,2025-05-11 00:30:00,29,Scrap Steel
DEF-00246,M001,2025-05-11 00:40:00,24,Cotton
DEF-00247,M001,2025-05-11 00:55:00,6,Steel
DEF-00248,M001,2025-05-11 02:15:00,17,Reprocessed Plastics
DEF-00249,M001,2025-05-11 02:25:00,14,Lead-Based Alloy
DEF-00250,M001,2025-05-11 02:30:00,2,Reprocessed Plastics
DEF-00251,M001,2025-05-11 02:40:00,19,Plastic Resin
DEF-00252,M001,2025-05-11 02:45:00,18,Packaging
DEF-00253,M001,2025-05-11 03:05:00,39,Polypropylene
DEF-00254,M001,2025-05-11 04:00:00,15,Reprocessed Plastics
DEF-00255,M001,2025-05-11 04:20:00,41,Cotton
DEF-00256,M001,2025-05-11 04:45:00,32,Lead-Based Alloy
DEF-00257,M001,2025-05-11 05:20:00,1,Circuit Board
DEF-00258,M001,2025-05-11 06:40:00,29,Circuit Board
DEF-00259,M001,2025-05-11 07:00:00,16,Circuit Board
DEF-00260,M001,2025-05-11 08:15:00,25,Solvent
DEF-00261,M001,2025-05-11 08:35:00,15,Catalyst
DEF-00262,M001,2025-05-11 08:40:00,20,Circuit Board
DEF-00263,M001,2025-05-11 09:15:00,10,Solvent
DEF-00264,M001,2025-05-11 09:55:00,21,Lead-Based Alloy
DEF-00265,M001,2025-05-11 10:30:00,7,Polypropylene
DEF-00266,M001,2025-05-11 14:25:00,8,Aluminum
DEF-00267,M001,2025-05-11 14:40:00,7,Coolant
DEF-00268,M001,2025-05-11 15:00:00,6,Plastic Resin
DEF-00269,M001,2025-05-11 16:00:00,12,Reprocessed Plastics
DEF-00270,M001,2025-05-11 16:10:00,23,Sheet Metal
DEF-00271,M001,2025-05-11 17:40:00,2,Sheet Metal
DEF-00272,M001,2025-05-11 17:45:00,13,Sheet Metal
DEF-00273,M001,2025-05-11 18:00:00,8,Plastic Resin
DEF-00274,M001,2025-05-11 18:20:00,31,Cotton
DEF-00275,M001,2025-05-11 19:20:00,34,Circuit Board
DEF-00276,M001,2025-05-11 19:50:00,6,Packaging
DEF-00277,M001,2025-05-11 20:25:00,28,Scrap Steel
DEF-00278,M001,2025-05-11 20:30:00,8,Machine Component
DEF-00279,M001,2025-05-11 20:40:00,24,Textiles
DEF-00280,M001,2025-05-11 21:05:00,12,Polypropylene
DEF-00281,M001,2025-05-11 21:25:00,2,Steel
DEF-00282,M001,2025-05-11 22:30:00,9,Industrial Oil
DEF-00283,M001,2025-05-11 22:35:00,39,Catalyst
DEF-00284,M001,2025-05-12 01:50:00,32,Circuit Board
DEF-00285,M001,2025-05-12 01:55:00,21,Steel
DEF-00286,M001,2025-05-12 04:40:00,11,Circuit Board
DEF-00287,M001,2025-05-12 05:35:00,26,Textiles
DEF-00288,M001,2025-05-12 06:50:00,37,Machine Component
DEF-00289,M001,2025-05-12 08:05:00,14,Lead-Based Alloy
DEF-00290,M001,2025-05-12 08:45:00,3,Industrial Oil
DEF-00291,M001,2025-05-12 09:00:00,11,Industrial Oil
DEF-00292,M001,2025-05-12 10:00:00,19,Solvent
DEF-00293,M001,2025-05-12 10:20:00,8,Machine Component
DEF-00294,M001,2025-05-12 10:45:00,42,Sheet Metal
DEF-00295,M001,2025-05-12 11:00:00,39,Solvent
DEF-00296,M001,2025-05-12 11:55:00,9,Scrap Steel
DEF-00297,M001,2025-05-12 12:05:00,13,Lead-Based Alloy
DEF-00298,M001,2025-05-12 12:30:00,0,Steel
DEF-00299,M001,2025-05-12 13:35:00,20,Textiles
DEF-00300,M001,2025-05-12 13:45:00,27,Plastic Resin
DEF-00301,M001,2025-05-12 14:40:00,40,Reprocessed Plastics
DEF-00302,M001,2025-05-12 15:15:00,23,Solvent
DEF-00303,M001,2025-05-12 16:35:00,14,Cotton
DEF-00304,M001,2025-05-12 16:45:00,6,Sheet Metal
DEF-00305,M001,2025-05-12 17:55:00,11,Packaging
DEF-00306,M001,2025-05-12 19:55:00,9,Sheet Metal
DEF-00307,M001,2025-05-12 20:40:00,28,Industrial Oil
DEF-00308,M001,2025-05-12 21:35:00,6,Textiles
DEF-00309,M001,2025-05-12 22:00:00,22,Catalyst
DEF-00310,M001,2025-05-12 22:15:00,19,Lead-Based Alloy
DEF-00311,M001,2025-05-12 23:00:00,6,Sheet Metal
DEF-00312,M001,2025-05-13 01:15:00,19,Catalyst
DEF-00313,M001,2025-05-13 01:45:00,23,Packaging
DEF-00314,M001,2025-05-13 02:00:00,15,Aluminum
DEF-00315,M001,2025-05-13 02:30:00,4,Aluminum
DEF-00316,M001,2025-05-13 03:40:00,4,Cotton
DEF-00317,M001,2025-05-13 04:55:00,8,Aluminum
DEF-00318,M001,2025-05-13 05:10:00,16,Textiles
DEF-00319,M001,2025-05-13 06:05:00,24,Scrap Steel
DEF-00320,M001,2025-05-13 07:25:00,5,Lead-Based Alloy
DEF-00321,M001,2025-05-13 07:55:00,5,Lead-Based Alloy
DEF-00322,M001,2025-05-13 08:10:00,31,Aluminum
DEF-00323,M001,2025-05-13 08:45:00,45,Plastic Resin
DEF-00324,M001,2025-05-13 10:10:00,12,Textiles
DEF-00325,M001,2025-05-13 10:25:00,4,Catalyst
DEF-00326,M001,2025-05-13 10:45:00,2,Cotton
DEF-00327,M001,2025-05-13 11:25:00,48,Plastic Resin
DEF-00328,M001,2025-05-13 11:55:00,2,Lead-Based Alloy
DEF-00329,M001,2025-05-13 12:15:00,38,Polypropylene
DEF-00330,M001,2025-05-13 13:05:00,5,Packaging
DEF-00331,M001,2025-05-13 13:40:00,4,Lead-Based Alloy
DEF-00332,M001,2025-05-13 14:00:00,2,Industrial Oil
DEF-00333,M001,2025-05-13 14:10:00,2,Plastic Resin
DEF-00334,M001,2025-05-13 14:25:00,4,Lead-Based Alloy
DEF-00335,M001,2025-05-13 14:45:00,10,Cotton
DEF-00336,M001,2025-05-13 15:55:00,5,Machine Component
DEF-00337,M001,2025-05-13 17:25:00,8,Reprocessed Plastics
DEF-00338,M001,2025-05-13 18:15:00,12,Scrap Steel
DEF-00339,M001,2025-05-13 19:30:00,3,Catalyst
DEF-00340,M001,2025-05-13 19:35:00,22,Scrap Steel
DEF-00341,M001,2025-05-13 21:00:00,14,Lead-Based Alloy
DEF-00342,M001,2025-05-13 23:05:00,33,Cotton
DEF-00343,M001,2025-05-13 23:40:00,14,Machine Component
DEF-00344,M001,2025-05-14 00:30:00,30,Reprocessed Plastics
DEF-00345,M001,2025-05-14 01:00:00,14,Plastic Resin
DEF-00346,M001,2025-05-14 02:05:00,10,Scrap Steel
DEF-00347,M001,2025-05-14 02:50:00,30,Solvent
DEF-00348,M001,2025-05-14 03:05:00,4,Sheet Metal
DEF-00349,M001,2025-05-14 05:05:00,16,Plastic Resin
DEF-00350,M001,2025-05-14 05:15:00,24,Sheet Metal
DEF-00351,M001,2025-05-14 08:00:00,2,Lead-Based Alloy
DEF-00352,M001,2025-05-14 09:05:00,7,Solvent
DEF-00353,M001,2025-05-14 09:20:00,1,Polypropylene
DEF-00354,M001,2025-05-14 10:35:00,1,Aluminum
DEF-00355,M001,2025-05-14 11:25:00,2,Coolant
DEF-00356,M001,2025-05-14 12:10:00,8,Industrial Oil
DEF-00357,M001,2025-05-14 12:30:00,17,Reprocessed Plastics
DEF-00358,M001,2025-05-14 12:35:00,1,Solvent
DEF-00359,M001,2025-05-14 13:30:00,7,Reprocessed Plastics
DEF-00360,M001,2025-05-14 14:25:00,4,Scrap Steel
DEF-00361,M001,2025-05-14 14:55:00,8,Industrial Oil
DEF-00362,M001,2025-05-14 16:00:00,5,Circuit Board
DEF-00363,M001,2025-05-14 16:30:00,3,Reprocessed Plastics
DEF-00364,M001,2025-05-14 16:50:00,10,Circuit Board
DEF-00365,M001,2025-05-14 18:05:00,35,Solvent
DEF-00366,M001,2025-05-14 18:20:00,25,Coolant
DEF-00367,M001,2025-05-14 18:30:00,3,Sheet Metal
DEF-00368,M001,2025-05-14 19:35:00,5,Steel
DEF-00369,M001,2025-05-14 20:05:00,9,Cotton
DEF-00370,M001,2025-05-14 20:30:00,7,Machine Component
DEF-00371,M001,2025-05-14 21:50:00,14,Textiles
DEF-00372,M001,2025-05-14 23:40:00,6,Industrial Oil
DEF-00373,M001,2025-05-15 00:15:00,10,Lead-Based Alloy
DEF-00374,M001,2025-05-15 00:35:00,49,Catalyst
DEF-00375,M001,2025-05-15 00:40:00,33,Catalyst
DEF-00376,M001,2025-05-15 00:45:00,17,Solvent
DEF-00377,M001,2025-05-15 01:00:00,20,Circuit Board
DEF-00378,M001,2025-05-15 02:15:00,26,Packaging
DEF-00379,M001,2025-05-15 02:30:00,3,Cotton
DEF-00380,M001,2025-05-15 02:35:00,6,Reprocessed Plastics
DEF-00381,M001,2025-05-15 04:00:00,8,Catalyst
DEF-00382,M001,2025-05-15 04:20:00,4,Textiles
DEF-00383,M001,2025-05-15 05:20:00,6,Scrap Steel
DEF-00384,M001,2025-05-15 06:20:00,2,Circuit Board
DEF-00385,M001,2025-05-15 06:45:00,17,Packaging
DEF-00386,M001,2025-05-15 10:10:00,33,Polypropylene
DEF-00387,M001,2025-05-15 11:05:00,35,Scrap Steel
DEF-00388,M001,2025-05-15 11:50:00,8,Polypropylene
DEF-00389,M001,2025-05-15 12:50:00,29,Lead-Based Alloy
DEF-00390,M001,2025-05-15 14:55:00,21,Solvent
DEF-00391,M001,2025-05-15 15:05:00,48,Textiles
DEF-00392,M001,2025-05-15 15:20:00,6,Solvent
DEF-00393,M001,2025-05-15 16:10:00,24,Machine Component
DEF-00394,M001,2025-05-15 16:45:00,0,Machine Component
DEF-00395,M001,2025-05-15 18:00:00,8,Plastic Resin
DEF-00396,M001,2025-05-15 18:20:00,1,Packaging
DEF-00397,M001,2025-05-15 18:45:00,3,Coolant
DEF-00398,M001,2025-05-15 18:50:00,29,Circuit Board
DEF-00399,M001,2025-05-15 20:00:00,5,Plastic Resin
DEF-00400,M001,2025-05-15 20:55:00,7,Circuit Board
DEF-00401,M001,2025-05-15 21:10:00,6,Lead-Based Alloy
DEF-00402,M001,2025-05-15 22:50:00,30,Catalyst
DEF-00403,M001,2025-05-15 23:00:00,20,Sheet Metal
DEF-00404,M001,2025-05-15 23:10:00,19,Packaging
DEF-00405,M001,2025-05-16 02:35:00,15,Sheet Metal
DEF-00406,M001,2025-05-16 03:50:00,13,Steel
DEF-00407,M001,2025-05-16 04:30:00,4,Textiles
DEF-00408,M001,2025-05-16 04:40:00,27,Industrial Oil
DEF-00409,M001,2025-05-16 05:10:00,16,Cotton
DEF-00410,M001,2025-05-16 05:50:00,15,Polypropylene
DEF-00411,M001,2025-05-16 06:10:00,13,Circuit Board
DEF-00412,M001,2025-05-16 07:35:00,9,Solvent
DEF-00413,M001,2025-05-16 08:20:00,4,Solvent
DEF-00414,M001,2025-05-16 08:50:00,1,Solvent
DEF-00415,M001,2025-05-16 09:35:00,10,Coolant
DEF-00416,M001,2025-05-16 10:40:00,29,Reprocessed Plastics
DEF-00417,M001,2025-05-16 10:55:00,15,Textiles
DEF-00418,M001,2025-05-16 12:05:00,28,Cotton
DEF-00419,M001,2025-05-16 13:40:00,15,Textiles
DEF-00420,M001,2025-05-16 14:15:00,3,Aluminum
DEF-00421,M001,2025-05-16 15:30:00,14,Solvent
DEF-00422,M001,2025-05-16 15:50:00,5,Polypropylene
DEF-00423,M001,2025-05-16 16:30:00,1,Circuit Board
DEF-00424,M001,2025-05-16 16:35:00,12,Reprocessed Plastics
DEF-00425,M001,2025-05-16 16:45:00,16,Machine Component
DEF-00426,M001,2025-05-16 17:20:00,2,Sheet Metal
DEF-00427,M001,2025-05-16 17:45:00,3,Solvent
DEF-00428,M001,2025-05-16 19:15:00,22,Catalyst
DEF-00429,M001,2025-05-16 19:40:00,26,Lead-Based Alloy
DEF-00430,M001,2025-05-16 20:40:00,28,Lead-Based Alloy
DEF-00431,M001,2025-05-16 20:55:00,3,Steel
DEF-00432,M001,2025-05-16 21:20:00,15,Aluminum
DEF-00433,M001,2025-05-16 23:50:00,13,Steel
DEF-00434,M001,2025-05-17 00:00:00,12,Polypropylene
DEF-00435,M001,2025-05-17 00:35:00,3,Polypropylene
