maintenance_id,machine_id,maintenance_date,maintenance_type,status
MNT-00073,MAC-02,2015-10-30 06:00:00,Preventive,Completed
MNT-00074,MAC-02,2015-10-30 06:00:00,Preventive,Completed
MNT-00075,MAC-02,2015-11-14 06:00:00,Preventive,Completed
MNT-00076,MAC-02,2015-11-29 06:00:00,Preventive,Completed
MNT-00077,MAC-02,2015-11-29 06:00:00,Preventive,Completed
MNT-00078,MAC-02,2015-12-14 06:00:00,Preventive,Completed
MNT-00079,MAC-02,2015-12-29 06:00:00,Preventive,Completed
MNT-00080,MAC-02,2015-12-29 06:00:00,Corrective,Completed
MNT-00081,MAC-03,2014-06-16 06:00:00,Preventive,Completed
MNT-00082,MAC-03,2014-07-01 06:00:00,Preventive,Completed
MNT-00083,MAC-03,2014-08-15 06:00:00,Preventive,Completed
MNT-00084,MAC-03,2014-11-28 06:00:00,Preventive,Completed
MNT-00085,MAC-03,2015-01-07 06:00:00,Preventive,Completed
MNT-00086,MAC-03,2015-01-07 06:00:00,Corrective,Completed
MNT-00087,MAC-03,2015-01-22 06:00:00,Preventive,Completed
MNT-00088,MAC-03,2015-02-06 06:00:00,Preventive,Completed
MNT-00089,MAC-03,2015-02-06 06:00:00,Corrective,Completed
MNT-00090,MAC-03,2015-02-21 06:00:00,Preventive,Completed
MNT-00091,MAC-03,2015-02-21 06:00:00,Preventive,Completed
MNT-00092,MAC-03,2015-03-08 06:00:00,Preventive,Completed
MNT-00093,MAC-03,2015-03-08 06:00:00,Preventive,Completed
MNT-00094,MAC-03,2015-03-23 06:00:00,Preventive,Completed
MNT-00095,MAC-03,2015-04-07 06:00:00,Preventive,Completed
MNT-00096,MAC-03,2015-04-22 06:00:00,Preventive,Completed
MNT-00097,MAC-03,2015-05-07 06:00:00,Preventive,Completed
MNT-00098,MAC-03,2015-05-22 06:00:00,Preventive,Completed
MNT-00099,MAC-03,2015-06-06 06:00:00,Preventive,Completed
MNT-00100,MAC-03,2015-06-21 06:00:00,Preventive,Completed
MNT-00101,MAC-03,2015-06-21 06:00:00,Preventive,Completed
MNT-00102,MAC-03,2015-07-06 06:00:00,Preventive,Completed
MNT-00103,MAC-03,2015-07-06 06:00:00,Preventive,Completed
MNT-00104,MAC-03,2015-07-21 06:00:00,Preventive,Completed
MNT-00105,MAC-03,2015-07-21 06:00:00,Corrective,Completed
MNT-00106,MAC-03,2015-08-05 06:00:00,Preventive,Completed
MNT-00107,MAC-03,2015-08-20 06:00:00,Preventive,Completed
MNT-00108,MAC-03,2015-09-04 06:00:00,Preventive,Completed
MNT-00109,MAC-03,2015-09-04 06:00:00,Preventive,Completed
MNT-00110,MAC-03,2015-09-19 06:00:00,Preventive,Completed
MNT-00111,MAC-03,2015-09-19 06:00:00,Preventive,Completed
MNT-00112,MAC-03,2015-10-04 06:00:00,Preventive,Completed
MNT-00113,MAC-03,2015-10-04 06:00:00,Corrective,Completed
MNT-00114,MAC-03,2015-10-19 06:00:00,Preventive,Completed
MNT-00115,MAC-03,2015-10-19 06:00:00,Preventive,Completed
MNT-00116,MAC-03,2015-11-03 06:00:00,Preventive,Completed
MNT-00117,MAC-03,2015-11-03 06:00:00,Preventive,Completed
MNT-00118,MAC-03,2015-11-18 06:00:00,Preventive,Completed
MNT-00119,MAC-03,2015-11-18 06:00:00,Preventive,Completed
MNT-00120,MAC-03,2015-12-03 06:00:00,Preventive,Completed
MNT-00121,MAC-03,2015-12-03 06:00:00,Corrective,Completed
MNT-00122,MAC-03,2015-12-18 06:00:00,Preventive,Completed
MNT-00123,MAC-04,2014-06-16 06:00:00,Preventive,Completed
MNT-00124,MAC-04,2014-07-31 06:00:00,Preventive,Completed
MNT-00125,MAC-04,2014-11-13 06:00:00,Preventive,Completed
MNT-00126,MAC-04,2014-12-13 06:00:00,Preventive,Completed
MNT-00127,MAC-04,2015-01-17 06:00:00,Preventive,Completed
MNT-00128,MAC-04,2015-01-17 06:00:00,Corrective,Completed
MNT-00129,MAC-04,2015-02-16 06:00:00,Preventive,Completed
MNT-00130,MAC-04,2015-02-16 06:00:00,Corrective,Completed
MNT-00131,MAC-04,2015-03-03 06:00:00,Preventive,Completed
MNT-00132,MAC-04,2015-03-18 06:00:00,Preventive,Completed
MNT-00133,MAC-04,2015-03-18 06:00:00,Preventive,Completed
MNT-00134,MAC-04,2015-04-02 06:00:00,Preventive,Completed
MNT-00135,MAC-04,2015-04-02 06:00:00,Preventive,Completed
MNT-00136,MAC-04,2015-04-02 06:00:00,Corrective,Completed
MNT-00137,MAC-04,2015-04-17 06:00:00,Preventive,Completed
MNT-00138,MAC-04,2015-05-02 06:00:00,Preventive,Completed
MNT-00139,MAC-04,2015-05-17 06:00:00,Preventive,Completed
MNT-00140,MAC-04,2015-06-01 06:00:00,Preventive,Completed
MNT-00141,MAC-04,2015-06-16 06:00:00,Preventive,Completed
MNT-00142,MAC-04,2015-07-01 06:00:00,Preventive,Completed
MNT-00143,MAC-04,2015-07-16 06:00:00,Preventive,Completed
MNT-00144,MAC-04,2015-07-16 06:00:00,Corrective,Completed
MNT-00145,MAC-04,2015-07-31 06:00:00,Preventive,Completed
MNT-00146,MAC-04,2015-08-30 06:00:00,Preventive,Completed
MNT-00147,MAC-04,2015-08-30 06:00:00,Corrective,Completed
MNT-00148,MAC-04,2015-09-14 06:00:00,Preventive,Completed
MNT-00149,MAC-04,2015-09-14 06:00:00,Preventive,Completed
MNT-00150,MAC-04,2015-09-29 06:00:00,Preventive,Completed
MNT-00151,MAC-04,2015-10-14 06:00:00,Preventive,Completed
MNT-00152,MAC-04,2015-10-14 06:00:00,Corrective,Completed
MNT-00153,MAC-04,2015-10-29 06:00:00,Preventive,Completed
MNT-00154,MAC-04,2015-10-29 06:00:00,Preventive,Completed
MNT-00155,MAC-04,2015-11-13 06:00:00,Preventive,Completed
MNT-00156,MAC-04,2015-11-13 06:00:00,Preventive,Completed
MNT-00157,MAC-04,2015-11-28 06:00:00,Preventive,Completed
MNT-00158,MAC-04,2015-11-28 06:00:00,Preventive,Completed
MNT-00159,MAC-04,2015-12-13 06:00:00,Preventive,Completed
MNT-00160,MAC-04,2015-12-13 06:00:00,Preventive,Completed
MNT-00161,MAC-04,2015-12-28 06:00:00,Preventive,Completed
MNT-00162,MAC-05,2014-08-15 06:00:00,Preventive,Completed
MNT-00163,MAC-05,2014-08-30 06:00:00,Preventive,Completed
MNT-00164,MAC-05,2014-09-29 06:00:00,Preventive,Completed
MNT-00165,MAC-05,2014-10-14 06:00:00,Preventive,Completed
MNT-00166,MAC-05,2015-01-09 06:00:00,Preventive,Completed
MNT-00167,MAC-05,2015-01-09 06:00:00,Corrective,Completed
MNT-00168,MAC-05,2015-01-24 06:00:00,Preventive,Completed
MNT-00169,MAC-05,2015-02-08 06:00:00,Preventive,Completed
MNT-00170,MAC-05,2015-02-23 06:00:00,Preventive,Completed
MNT-00171,MAC-05,2015-02-23 06:00:00,Preventive,Completed
MNT-00172,MAC-05,2015-02-23 06:00:00,Corrective,Completed
MNT-00173,MAC-05,2015-03-10 06:00:00,Preventive,Completed
MNT-00174,MAC-05,2015-03-25 06:00:00,Preventive,Completed
MNT-00175,MAC-05,2015-04-09 06:00:00,Preventive,Completed
MNT-00176,MAC-05,2015-04-09 06:00:00,Corrective,Completed
MNT-00177,MAC-05,2015-04-24 06:00:00,Preventive,Completed
MNT-00178,MAC-05,2015-04-24 06:00:00,Preventive,Completed
MNT-00179,MAC-05,2015-05-09 06:00:00,Preventive,Completed
MNT-00180,MAC-05,2015-05-24 06:00:00,Preventive,Completed
MNT-00181,MAC-05,2015-06-08 06:00:00,Preventive,Completed
MNT-00182,MAC-05,2015-06-23 06:00:00,Preventive,Completed
MNT-00183,MAC-05,2015-06-23 06:00:00,Corrective,Completed
MNT-00184,MAC-05,2015-07-08 06:00:00,Preventive,Completed
MNT-00185,MAC-05,2015-07-23 06:00:00,Preventive,Completed
MNT-00186,MAC-05,2015-08-07 06:00:00,Preventive,Completed
MNT-00187,MAC-05,2015-08-07 06:00:00,Preventive,Completed
MNT-00188,MAC-05,2015-08-22 06:00:00,Preventive,Completed
MNT-00189,MAC-05,2015-09-06 06:00:00,Preventive,Completed
MNT-00190,MAC-05,2015-09-06 06:00:00,Preventive,Completed
MNT-00191,MAC-05,2015-09-06 06:00:00,Corrective,Completed
MNT-00192,MAC-05,2015-09-21 06:00:00,Preventive,Completed
MNT-00193,MAC-05,2015-09-21 06:00:00,Preventive,Completed
MNT-00194,MAC-05,2015-10-06 06:00:00,Preventive,Completed
MNT-00195,MAC-05,2015-10-06 06:00:00,Preventive,Completed
MNT-00196,MAC-05,2015-10-06 06:00:00,Corrective,Completed
MNT-00197,MAC-05,2015-10-21 06:00:00,Preventive,Completed
MNT-00198,MAC-05,2015-11-05 06:00:00,Preventive,Completed
MNT-00199,MAC-05,2015-11-05 06:00:00,Preventive,Completed
MNT-00200,MAC-05,2015-11-20 06:00:00,Preventive,Completed
MNT-00201,MAC-05,2015-11-20 06:00:00,Corrective,Completed
MNT-00202,MAC-05,2015-12-05 06:00:00,Preventive,Completed
MNT-00203,MAC-05,2015-12-20 06:00:00,Preventive,Completed
MNT-00204,MAC-06,2014-06-01 06:00:00,Preventive,Completed
MNT-00205,MAC-06,2014-09-14 06:00:00,Preventive,Completed
MNT-00206,MAC-06,2014-09-14 06:00:00,Preventive,Completed
MNT-00207,MAC-06,2014-12-28 06:00:00,Preventive,Completed
MNT-00208,MAC-06,2015-01-22 06:00:00,Preventive,Completed
MNT-00209,MAC-06,2015-02-06 06:00:00,Preventive,Completed
MNT-00210,MAC-06,2015-02-06 06:00:00,Preventive,Completed
MNT-00211,MAC-06,2015-02-21 06:00:00,Preventive,Completed
MNT-00212,MAC-06,2015-02-21 06:00:00,Preventive,Completed
MNT-00213,MAC-06,2015-03-08 06:00:00,Preventive,Completed
MNT-00214,MAC-06,2015-03-08 06:00:00,Preventive,Completed
MNT-00215,MAC-06,2015-03-23 06:00:00,Preventive,Completed
MNT-00216,MAC-06,2015-04-07 06:00:00,Preventive,Completed
MNT-00217,MAC-06,2015-04-22 06:00:00,Preventive,Completed
MNT-00218,MAC-06,2015-04-22 06:00:00,Preventive,Completed
MNT-00219,MAC-06,2015-05-07 06:00:00,Preventive,Completed
MNT-00220,MAC-06,2015-05-07 06:00:00,Preventive,Completed
MNT-00221,MAC-06,2015-05-22 06:00:00,Preventive,Completed
MNT-00222,MAC-06,2015-06-21 06:00:00,Preventive,Completed
MNT-00223,MAC-06,2015-07-06 06:00:00,Preventive,Completed
MNT-00224,MAC-06,2015-07-06 06:00:00,Preventive,Completed
MNT-00225,MAC-06,2015-07-21 06:00:00,Preventive,Completed
MNT-00226,MAC-06,2015-07-21 06:00:00,Preventive,Completed
MNT-00227,MAC-06,2015-08-05 06:00:00,Preventive,Completed
MNT-00228,MAC-06,2015-08-20 06:00:00,Preventive,Completed
MNT-00229,MAC-06,2015-08-20 06:00:00,Preventive,Completed
MNT-00230,MAC-06,2015-09-19 06:00:00,Preventive,Completed
MNT-00231,MAC-06,2015-11-03 06:00:00,Preventive,Completed
MNT-00232,MAC-06,2015-11-03 06:00:00,Preventive,Completed
MNT-00233,MAC-06,2015-11-18 06:00:00,Preventive,Completed
MNT-00234,MAC-06,2015-11-18 06:00:00,Preventive,Completed
MNT-00235,MAC-06,2015-12-03 06:00:00,Preventive,Completed
MNT-00236,MAC-06,2015-12-03 06:00:00,Preventive,Completed
MNT-00237,MAC-06,2015-12-18 06:00:00,Preventive,Completed
MNT-00238,MAC-07,2014-07-01 06:00:00,Preventive,Completed
MNT-00239,MAC-07,2014-07-01 06:00:00,Preventive,Completed
MNT-00240,MAC-07,2014-08-15 06:00:00,Preventive,Completed
MNT-00241,MAC-07,2014-11-28 06:00:00,Preventive,Completed
MNT-00242,MAC-07,2015-01-24 06:00:00,Preventive,Completed
MNT-00243,MAC-07,2015-01-24 06:00:00,Preventive,Completed
MNT-00244,MAC-07,2015-01-24 06:00:00,Corrective,Completed
MNT-00245,MAC-07,2015-01-24 06:00:00,Corrective,Completed
MNT-00246,MAC-07,2015-02-08 06:00:00,Preventive,Completed
MNT-00247,MAC-07,2015-02-08 06:00:00,Preventive,Completed
MNT-00248,MAC-07,2015-02-08 06:00:00,Corrective,Completed
MNT-00249,MAC-07,2015-02-23 06:00:00,Preventive,Completed
MNT-00250,MAC-07,2015-02-23 06:00:00,Preventive,Completed
MNT-00251,MAC-07,2015-03-10 06:00:00,Preventive,Completed
MNT-00252,MAC-07,2015-03-25 06:00:00,Preventive,Completed
MNT-00253,MAC-07,2015-03-25 06:00:00,Preventive,Completed
MNT-00254,MAC-07,2015-04-09 06:00:00,Preventive,Completed
MNT-00255,MAC-07,2015-04-24 06:00:00,Preventive,Completed
MNT-00256,MAC-07,2015-04-24 06:00:00,Corrective,Completed
MNT-00257,MAC-07,2015-05-09 06:00:00,Preventive,Completed
MNT-00258,MAC-07,2015-05-09 06:00:00,Preventive,Completed
MNT-00259,MAC-07,2015-05-09 06:00:00,Corrective,Completed
MNT-00260,MAC-07,2015-05-24 06:00:00,Preventive,Completed
MNT-00261,MAC-07,2015-05-24 06:00:00,Preventive,Completed
MNT-00262,MAC-07,2015-05-24 06:00:00,Corrective,Completed
MNT-00263,MAC-07,2015-06-08 06:00:00,Preventive,Completed
MNT-00264,MAC-07,2015-06-08 06:00:00,Preventive,Completed
MNT-00265,MAC-07,2015-06-23 06:00:00,Preventive,Completed
MNT-00266,MAC-07,2015-07-08 06:00:00,Preventive,Completed
MNT-00267,MAC-07,2015-07-08 06:00:00,Corrective,Completed
MNT-00268,MAC-07,2015-07-23 06:00:00,Preventive,Completed
MNT-00269,MAC-07,2015-07-23 06:00:00,Preventive,Completed
MNT-00270,MAC-07,2015-08-22 06:00:00,Preventive,Completed
MNT-00271,MAC-07,2015-09-06 06:00:00,Preventive,Completed
MNT-00272,MAC-07,2015-09-21 06:00:00,Preventive,Completed
MNT-00273,MAC-07,2015-09-21 06:00:00,Preventive,Completed
MNT-00274,MAC-07,2015-09-21 06:00:00,Corrective,Completed
MNT-00275,MAC-07,2015-10-06 06:00:00,Preventive,Completed
MNT-00276,MAC-07,2015-10-21 06:00:00,Preventive,Completed
MNT-00277,MAC-07,2015-10-21 06:00:00,Preventive,Completed
MNT-00278,MAC-07,2015-10-21 06:00:00,Corrective,Completed
MNT-00279,MAC-07,2015-11-05 06:00:00,Preventive,Completed
MNT-00280,MAC-07,2015-11-05 06:00:00,Preventive,Completed
MNT-00281,MAC-07,2015-11-20 06:00:00,Preventive,Completed
MNT-00282,MAC-07,2015-12-05 06:00:00,Preventive,Completed
MNT-00283,MAC-07,2015-12-20 06:00:00,Preventive,Completed
MNT-00284,MAC-07,2015-12-20 06:00:00,Corrective,Completed
MNT-00285,MAC-08,2014-08-30 06:00:00,Preventive,Completed
MNT-00286,MAC-08,2014-10-14 06:00:00,Preventive,Completed
MNT-00287,MAC-08,2014-11-28 06:00:00,Preventive,Completed
MNT-00288,MAC-08,2014-12-13 06:00:00,Preventive,Completed
MNT-00289,MAC-08,2015-01-06 06:00:00,Preventive,Completed
MNT-00290,MAC-08,2015-01-21 06:00:00,Preventive,Completed
MNT-00291,MAC-08,2015-03-07 06:00:00,Preventive,Completed
MNT-00292,MAC-08,2015-03-07 06:00:00,Corrective,Completed
MNT-00293,MAC-08,2015-03-22 06:00:00,Preventive,Completed
MNT-00294,MAC-08,2015-03-22 06:00:00,Corrective,Completed
MNT-00295,MAC-08,2015-04-06 06:00:00,Preventive,Completed
MNT-00296,MAC-08,2015-04-21 06:00:00,Preventive,Completed
MNT-00297,MAC-08,2015-04-21 06:00:00,Corrective,Completed
MNT-00298,MAC-08,2015-05-06 06:00:00,Preventive,Completed
MNT-00299,MAC-08,2015-05-21 06:00:00,Preventive,Completed
MNT-00300,MAC-08,2015-06-05 06:00:00,Preventive,Completed
MNT-00301,MAC-08,2015-06-20 06:00:00,Preventive,Completed
MNT-00302,MAC-08,2015-06-20 06:00:00,Preventive,Completed
MNT-00303,MAC-08,2015-07-05 06:00:00,Preventive,Completed
MNT-00304,MAC-08,2015-07-20 06:00:00,Preventive,Completed
MNT-00305,MAC-08,2015-08-04 06:00:00,Preventive,Completed
MNT-00306,MAC-08,2015-08-04 06:00:00,Corrective,Completed
MNT-00307,MAC-08,2015-08-19 06:00:00,Preventive,Completed
MNT-00308,MAC-08,2015-09-03 06:00:00,Preventive,Completed
MNT-00309,MAC-08,2015-09-18 06:00:00,Preventive,Completed
MNT-00310,MAC-08,2015-10-03 06:00:00,Preventive,Completed
MNT-00311,MAC-08,2015-10-18 06:00:00,Preventive,Completed
MNT-00312,MAC-08,2015-10-18 06:00:00,Corrective,Completed
MNT-00313,MAC-08,2015-11-02 06:00:00,Preventive,Completed
MNT-00314,MAC-08,2015-11-17 06:00:00,Preventive,Completed
MNT-00315,MAC-08,2015-12-02 06:00:00,Preventive,Completed
MNT-00316,MAC-08,2015-12-17 06:00:00,Preventive,Completed
MNT-00317,MAC-08,2015-12-17 06:00:00,Preventive,Completed
MNT-00318,MAC-08,2016-01-01 06:00:00,Preventive,Completed
MNT-00319,MAC-09,2014-06-01 06:00:00,Preventive,Completed
MNT-00320,MAC-09,2014-06-01 06:00:00,Preventive,Completed
MNT-00321,MAC-09,2014-11-28 06:00:00,Preventive,Completed
MNT-00322,MAC-09,2014-12-28 06:00:00,Preventive,Completed
MNT-00323,MAC-09,2015-02-02 06:00:00,Preventive,Completed
MNT-00324,MAC-09,2015-02-17 06:00:00,Preventive,Completed
MNT-00325,MAC-09,2015-03-04 06:00:00,Preventive,Completed
MNT-00326,MAC-09,2015-03-04 06:00:00,Preventive,Completed
MNT-00327,MAC-09,2015-03-04 06:00:00,Corrective,Completed
MNT-00328,MAC-09,2015-03-19 06:00:00,Preventive,Completed
MNT-00329,MAC-09,2015-04-03 06:00:00,Preventive,Completed
MNT-00330,MAC-09,2015-04-18 06:00:00,Preventive,Completed
MNT-00331,MAC-09,2015-05-03 06:00:00,Preventive,Completed
MNT-00332,MAC-09,2015-05-18 06:00:00,Preventive,Completed
MNT-00333,MAC-09,2015-06-02 06:00:00,Preventive,Completed
MNT-00334,MAC-09,2015-06-17 06:00:00,Preventive,Completed
MNT-00335,MAC-09,2015-06-17 06:00:00,Preventive,Completed
MNT-00336,MAC-09,2015-06-17 06:00:00,Corrective,Completed
MNT-00337,MAC-09,2015-07-02 06:00:00,Preventive,Completed
MNT-00338,MAC-09,2015-07-02 06:00:00,Preventive,Completed
MNT-00339,MAC-09,2015-07-02 06:00:00,Corrective,Completed
MNT-00340,MAC-09,2015-07-17 06:00:00,Preventive,Completed
MNT-00341,MAC-09,2015-07-17 06:00:00,Corrective,Completed
MNT-00342,MAC-09,2015-08-01 06:00:00,Preventive,Completed
MNT-00343,MAC-09,2015-08-16 06:00:00,Preventive,Completed
MNT-00344,MAC-09,2015-08-31 06:00:00,Preventive,Completed
MNT-00345,MAC-09,2015-08-31 06:00:00,Preventive,Completed
MNT-00346,MAC-09,2015-08-31 06:00:00,Corrective,Completed
MNT-00347,MAC-09,2015-09-15 06:00:00,Preventive,Completed
MNT-00348,MAC-09,2015-09-15 06:00:00,Preventive,Completed
MNT-00349,MAC-09,2015-09-15 06:00:00,Corrective,Completed
MNT-00350,MAC-09,2015-09-30 06:00:00,Preventive,Completed
MNT-00351,MAC-09,2015-10-15 06:00:00,Preventive,Completed
MNT-00352,MAC-09,2015-10-15 06:00:00,Preventive,Completed
MNT-00353,MAC-09,2015-10-15 06:00:00,Corrective,Completed
MNT-00354,MAC-09,2015-10-30 06:00:00,Preventive,Completed
MNT-00355,MAC-09,2015-11-14 06:00:00,Preventive,Completed
MNT-00356,MAC-09,2015-11-14 06:00:00,Preventive,Completed
MNT-00357,MAC-09,2015-11-14 06:00:00,Corrective,Completed
MNT-00358,MAC-09,2015-12-14 06:00:00,Preventive,Completed
MNT-00359,MAC-09,2015-12-14 06:00:00,Corrective,Completed
MNT-00360,MAC-09,2015-12-29 06:00:00,Preventive,Completed
MNT-00361,MAC-09,2015-12-29 06:00:00,Preventive,Completed
MNT-00362,MAC-10,2014-06-16 06:00:00,Preventive,Completed
MNT-00363,MAC-10,2014-08-30 06:00:00,Preventive,Completed
MNT-00364,MAC-10,2014-09-29 06:00:00,Preventive,Completed
MNT-00365,MAC-10,2014-10-14 06:00:00,Preventive,Completed
MNT-00366,MAC-10,2015-01-04 06:00:00,Preventive,Completed
MNT-00367,MAC-10,2015-01-19 06:00:00,Preventive,Completed
MNT-00368,MAC-10,2015-01-19 06:00:00,Preventive,Completed
MNT-00369,MAC-10,2015-01-19 06:00:00,Corrective,Completed
MNT-00370,MAC-10,2015-02-03 06:00:00,Preventive,Completed
MNT-00371,MAC-10,2015-02-18 06:00:00,Preventive,Completed
MNT-00372,MAC-10,2015-03-05 06:00:00,Preventive,Completed
MNT-00373,MAC-10,2015-03-05 06:00:00,Preventive,Completed
MNT-00374,MAC-10,2015-03-20 06:00:00,Preventive,Completed
MNT-00375,MAC-10,2015-04-04 06:00:00,Preventive,Completed
MNT-00376,MAC-10,2015-04-04 06:00:00,Corrective,Completed
MNT-00377,MAC-10,2015-04-19 06:00:00,Preventive,Completed
MNT-00378,MAC-10,2015-05-19 06:00:00,Preventive,Completed
MNT-00379,MAC-10,2015-05-19 06:00:00,Preventive,Completed
MNT-00380,MAC-10,2015-05-19 06:00:00,Corrective,Completed
MNT-00381,MAC-10,2015-06-03 06:00:00,Preventive,Completed
MNT-00382,MAC-10,2015-06-03 06:00:00,Corrective,Completed
MNT-00383,MAC-10,2015-06-18 06:00:00,Preventive,Completed
MNT-00384,MAC-10,2015-06-18 06:00:00,Preventive,Completed
MNT-00385,MAC-10,2015-06-18 06:00:00,Corrective,Completed
MNT-00386,MAC-10,2015-07-03 06:00:00,Preventive,Completed
MNT-00387,MAC-10,2015-07-18 06:00:00,Preventive,Completed
MNT-00388,MAC-10,2015-07-18 06:00:00,Preventive,Completed
MNT-00389,MAC-10,2015-08-02 06:00:00,Preventive,Completed
MNT-00390,MAC-10,2015-08-17 06:00:00,Preventive,Completed
MNT-00391,MAC-10,2015-09-01 06:00:00,Preventive,Completed
MNT-00392,MAC-10,2015-09-01 06:00:00,Preventive,Completed
MNT-00393,MAC-10,2015-09-16 06:00:00,Preventive,Completed
MNT-00394,MAC-10,2015-09-16 06:00:00,Preventive,Completed
MNT-00395,MAC-10,2015-10-01 06:00:00,Preventive,Completed
MNT-00396,MAC-10,2015-10-16 06:00:00,Preventive,Completed
MNT-00397,MAC-10,2015-10-16 06:00:00,Preventive,Completed
MNT-00398,MAC-10,2015-10-31 06:00:00,Preventive,Completed
